City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
74,westport,41.1415,-73.3579,71.6,87.0,100.0,3.44,US,1717651285.0
75,cedeira,43.6797,-8.0209,59.97,75.0,89.0,15.21,ES,1717651348.0
76,dunedin,-45.8742,170.5036,50.81,87.0,100.0,4.61,NZ,1717651268.0
77,puerto natales,-51.7236,-72.4875,34.09,99.0,100.0,2.13,CL,1717651254.0
78,itoman,26.1247,127.6694,73.78,80.0,75.0,9.22,JP,1717651349.0
79,keflavik,64.0049,-22.5624,41.43,65.0,40.0,11.5,IS,1717651280.0
80,vicuna,-30.0319,-70.7081,64.33,42.0,100.0,1.01,CL,1717651292.0
81,acarau,-2.8856,-40.12,76.14,90.0,5.0,9.53,BR,1717651349.0
82,bethel,41.3712,-73.414,70.65,83.0,100.0,1.99,US,1717650970.0
83,sanctuary point,-35.1114,150.629,57.33,87.0,90.0,20.02,AU,1717651349.0
84,st. john's,47.5649,-52.7093,49.55,98.0,100.0,2.3,CA,1717651058.0
85,thompson,55.7435,-97.8558,41.16,100.0,100.0,8.05,CA,1717651271.0
86,dzuunmod,48.2199,97.3744,57.83,31.0,75.0,9.89,MN,1717651349.0
87,nova xavantina,-14.6667,-52.35,68.29,57.0,3.0,1.61,BR,1717651349.0
88,tual,-5.6667,132.75,80.29,83.0,90.0,21.05,ID,1717651299.0
89,tieli,46.95,128.05,67.89,73.0,100.0,11.88,CN,1717651350.0
90,hotan,37.0997,79.9269,79.36,17.0,100.0,8.52,CN,1717651289.0
91,tinogasta,-28.0632,-67.5649,53.22,42.0,46.0,0.51,AR,1717651350.0
92,marsh harbour,26.5412,-77.0636,80.53,79.0,0.0,12.41,BS,1717651350.0
93,aden,12.7794,45.0367,89.28,71.0,73.0,6.78,YE,1717651350.0
94,college,64.8569,-147.8028,59.32,82.0,75.0,6.91,US,1717651264.0
95,badger,64.8,-147.5333,59.25,80.0,75.0,6.91,US,1717651282.0
96,tolanaro,-25.0319,46.9987,75.27,78.0,20.0,13.8,MG,1717651312.0
97,valdivia,-39.8142,-73.2459,53.69,100.0,100.0,2.17,CL,1717651313.0
98,iskateley,67.6803,53.1512,41.02,86.0,97.0,10.0,RU,1717651253.0
99,guerrero negro,27.9769,-114.0611,62.04,85.0,23.0,13.09,MX,1717651269.0
100,wailua homesteads,22.0669,-159.378,81.03,83.0,100.0,10.36,US,1717651254.0
101,bridgewater,44.3835,-64.5155,60.48,90.0,75.0,4.61,CA,1717651351.0
102,touros,-5.1989,-35.4608,74.7,93.0,42.0,9.95,BR,1717651269.0
103,talnakh,69.4865,88.3972,28.2,89.0,98.0,10.74,RU,1717651270.0
104,portland,45.5234,-122.6762,64.35,64.0,0.0,6.91,US,1717651083.0
105,alotau,,,,,,,,
106,guachochi,,,,,,,,
107,enoch,37.7733,-113.0244,75.45,36.0,0.0,9.22,US,1717651351.0
108,pangody,65.85,74.4859,32.45,84.0,100.0,5.91,RU,1717651283.0
109,yanam,16.7333,82.2167,94.28,53.0,76.0,5.1,IN,1717651352.0
110,taltal,-25.4,-70.4833,58.77,86.0,58.0,1.5,CL,1717651352.0
111,ujae,8.9322,165.7642,83.71,80.0,41.0,15.59,MH,1717651352.0
112,grootfontein,-19.5667,18.1167,36.97,70.0,0.0,2.3,NA,1717651352.0
113,isafjordur,66.0755,-23.124,34.66,95.0,98.0,16.08,IS,1717651256.0
114,mozhga,56.4447,52.2276,68.54,74.0,22.0,8.01,RU,1717651352.0
115,papatowai,-46.5619,169.4708,50.05,90.0,99.0,1.54,NZ,1717651256.0
116,rabo de peixe,37.8,-25.5833,63.99,99.0,40.0,17.27,PT,1717651352.0
117,ouadda,8.0777,22.4007,69.91,82.0,71.0,3.13,CF,1717651352.0
118,yenifakili,39.2114,35.0004,72.88,48.0,0.0,4.76,TR,1717651353.0
119,mar del plata,-38.0023,-57.5575,54.09,95.0,100.0,11.99,AR,1717651163.0
120,west island,-12.1568,96.8225,85.98,79.0,75.0,11.5,CC,1717651262.0
121,carnarvon,-24.8667,113.6333,74.7,43.0,4.0,5.84,AU,1717651260.0
122,canutama,-6.5339,-64.3831,77.85,59.0,82.0,2.06,BR,1717651353.0
123,curvelo,-18.7564,-44.4308,65.68,71.0,80.0,5.57,BR,1717651219.0
124,horta,38.5333,-28.6333,63.01,80.0,76.0,11.99,PT,1717651353.0
125,beatrice,40.2681,-96.747,69.28,64.0,0.0,4.61,US,1717651353.0
126,nizhneangarsk,55.7833,109.55,45.0,93.0,100.0,4.0,RU,1717651353.0
127,milici,44.1711,19.0903,56.57,83.0,0.0,2.33,BA,1717651353.0
128,constantia,44.1833,28.65,75.88,71.0,100.0,10.76,RO,1717651268.0
129,zelenoborskiy,66.845,32.3622,48.49,83.0,92.0,5.08,RU,1717651354.0
130,ust'-ilimsk,58.0006,102.6619,59.43,28.0,20.0,5.99,RU,1717651354.0
131,el bauga,18.262,33.9081,97.16,25.0,0.0,21.34,SD,1717651354.0
132,katima mulilo,-17.5,24.2667,56.05,24.0,0.0,4.7,NA,1717651301.0
133,ipora,-16.4419,-51.1178,63.36,58.0,0.0,4.74,BR,1717651354.0
134,mushie,-3.0167,16.9,72.34,80.0,100.0,2.98,CD,1717651354.0
135,selfoss,63.9331,-20.9971,40.05,58.0,100.0,7.85,IS,1717651279.0
136,box elder,41.5005,-112.8764,68.83,60.0,0.0,5.3,US,1717651354.0
